team,game,desc,date,opp,all_gf,all_ga,length,pts,sit,toi,gf,ga,cf,ca,ff,fa,sf,sa
ducks,1,Ducks 1 at Avalanche 6,2013-10-02,avalanche,1,6,reg,0,5v5,47.8,1,3,50,40,39,32,30,22
ducks,2,Ducks 4 at Wild 3 (OT),2013-10-05,wild,4,3,OT,2,5v5,49.0,2,1,26,51,22,36,17,25
ducks,3,Ducks 3 at Jets 2,2013-10-06,jets,3,2,reg,2,5v5,47.4,2,1,48,34,38,22,28,15
ducks,4,Rangers 0 at Ducks 6,2013-10-10,rangers,6,0,reg,2,5v5,45.4,6,0,37,45,31,33,26,29
ducks,5,Senators 1 at Ducks 4,2013-10-13,senators,4,1,reg,2,5v5,46.5,4,1,57,57,51,40,38,28
ducks,6,Flames 2 at Ducks 3,2013-10-16,flames,3,2,reg,2,5v5,43.9,3,1,32,43,21,36,14,27
ducks,7,Coyotes 2 at Ducks 3 (SO),2013-10-18,coyotes,3,2,SO,2,5v5,39.5,2,2,44,34,29,27,23,19
ducks,8,Stars 3 at Ducks 6,2013-10-20,stars,6,3,reg,2,5v5,44.2,3,2,46,48,35,36,27,23
ducks,9,Ducks 2 at Maple Leafs 4,2013-10-22,leafs,2,4,reg,0,5v5,43.7,2,3,49,34,34,23,16,18
ducks,10,Ducks 1 at Canadiens 4,2013-10-24,canadiens,1,4,reg,0,5v5,45.6,1,2,50,33,37,24,29,16
ducks,11,Ducks 2 at Senators 1,2013-10-25,senators,2,1,reg,2,5v5,42.4,2,0,39,36,31,26,22,15
ducks,12,Ducks 4 at Blue Jackets 3,2013-10-27,jackets,4,3,reg,2,5v5,47.5,3,2,36,37,26,26,19,18
ducks,13,Ducks 3 at Flyers 2,2013-10-29,flyers,3,2,reg,2,5v5,50.4,3,1,54,40,42,30,32,22
ducks,14,Ducks 2 at Bruins 3 (SO),2013-10-31,bruins,2,3,SO,1,5v5,49.8,2,1,25,39,21,27,17,16
ducks,15,Ducks 6 at Sabres 3,2013-11-02,sabres,6,3,reg,2,5v5,51.8,6,2,49,33,38,21,29,15
ducks,16,Ducks 2 at Rangers 1,2013-11-04,rangers,2,1,reg,2,5v5,52.7,2,1,37,56,27,41,20,29
ducks,17,Coyotes 2 at Ducks 5,2013-11-06,coyotes,5,2,reg,2,5v5,50.3,1,1,38,41,29,32,19,23
ducks,18,Sabres 2 at Ducks 6,2013-11-08,sabres,6,2,reg,2,5v5,55.2,4,2,66,49,60,36,42,26
ducks,19,Canucks 1 at Ducks 3,2013-11-10,canucks,3,1,reg,2,5v5,51.1,2,1,45,55,28,42,21,29
ducks,20,Ducks 2 at Panthers 3,2013-11-12,panthers,2,3,reg,0,5v5,45.0,2,3,36,37,32,27,29,23
ducks,21,Ducks 1 at Lightning 5,2013-11-14,lightning,1,5,reg,0,5v5,49.7,0,3,31,40,22,31,17,16
ducks,22,Ducks 2 at Hurricanes 3 (SO),2013-11-15,hurricanes,2,3,SO,1,5v5,51.5,1,1,39,41,36,28,23,17
ducks,23,Ducks 1 at Penguins 3,2013-11-18,penguins,1,3,reg,0,5v5,52.3,1,3,42,41,33,30,25,22
ducks,24,Devils 4 at Ducks 3 (OT),2013-11-20,devils,3,4,OT,1,5v5,46.4,1,0,28,40,19,29,15,17
ducks,25,Lightning 0 at Ducks 1 (OT),2013-11-22,lightning,1,0,OT,2,5v5,40.1,0,0,45,38,35,31,27,21
ducks,26,Ducks 4 at Coyotes 2,2013-11-23,coyotes,4,2,reg,2,5v5,44.1,2,2,41,55,32,37,22,31
ducks,27,Ducks 3 at Stars 6,2013-11-26,stars,3,6,reg,0,5v5,50.3,2,5,52,47,40,39,27,26
ducks,28,Flames 2 at Ducks 5,2013-11-29,flames,5,2,reg,2,5v5,53.0,4,2,58,44,47,34,33,21
ducks,29,Ducks 3 at Sharks 4 (SO),2013-11-30,sharks,3,4,SO,1,5v5,47.9,3,2,49,44,36,27,27,18
ducks,30,Kings 3 at Ducks 2 (SO),2013-12-03,kings,2,3,SO,1,5v5,45.5,1,2,28,73,22,55,17,33
ducks,31,Ducks 3 at Blackhawks 2 (SO),2013-12-06,blackhawks,3,2,SO,2,5v5,51.7,1,1,35,45,27,30,20,17
ducks,32,Ducks 5 at Blues 2,2013-12-07,blues,5,2,reg,2,5v5,44.9,3,2,26,47,22,35,19,23
ducks,33,Islanders 2 at Ducks 5,2013-12-09,islanders,5,2,reg,2,5v5,50.3,3,1,49,55,33,39,25,30
ducks,34,Wild 1 at Ducks 2,2013-12-11,wild,2,1,reg,2,5v5,51.9,2,0,42,34,37,29,28,20
ducks,35,Oilers 2 at Ducks 3,2013-12-15,oilers,3,2,reg,2,5v5,48.0,3,2,57,34,43,28,30,21
ducks,36,Ducks 5 at Red Wings 2,2013-12-17,wings,5,2,reg,2,5v5,48.9,4,2,37,30,27,24,23,17
ducks,37,Ducks 3 at Devils 2 (OT),2013-12-20,devils,3,2,OT,2,5v5,46.8,2,1,22,24,18,20,16,14
ducks,38,Ducks 5 at Islanders 3,2013-12-21,islanders,5,3,reg,2,5v5,50.9,4,3,52,36,32,27,26,20
ducks,39,Ducks 3 at Capitals 2,2013-12-23,capitals,3,2,reg,2,5v5,43.7,3,1,36,40,28,27,20,16
ducks,40,Coyotes 2 at Ducks 3 (OT),2013-12-28,coyotes,3,2,OT,2,5v5,49.4,1,1,45,45,37,32,30,23
ducks,41,Ducks 1 at Sharks 3,2013-12-29,sharks,1,3,reg,0,5v5,53.1,1,3,68,48,39,35,30,23
ducks,42,Sharks 3 at Ducks 6,2013-12-31,sharks,6,3,reg,2,5v5,44.4,4,0,47,43,37,33,33,23
ducks,43,Oilers 2 at Ducks 5,2014-01-03,oilers,5,2,reg,2,5v5,39.9,5,2,40,27,32,20,21,15
ducks,44,Canucks 3 at Ducks 4 (OT),2014-01-05,canucks,4,3,OT,2,5v5,51.9,3,1,74,32,54,28,41,13
ducks,45,Bruins 2 at Ducks 5,2014-01-07,bruins,5,2,reg,2,5v5,52.2,1,2,34,54,24,43,14,28
ducks,46,Ducks 4 at Predators 3,2014-01-09,predators,4,3,reg,2,5v5,43.6,3,3,45,28,32,23,23,15
ducks,47,Ducks 5 at Coyotes 3,2014-01-11,coyotes,5,3,reg,2,5v5,44.6,4,2,37,53,33,35,28,22
ducks,48,Red Wings 0 at Ducks 1,2014-01-12,wings,1,0,reg,2,5v5,40.6,1,0,29,41,21,27,16,12
ducks,49,Canucks 1 at Ducks 9,2014-01-15,canucks,9,1,reg,2,5v5,42.0,3,0,42,55,31,43,21,30
ducks,50,Ducks 2 at Blackhawks 4,2014-01-17,blackhawks,2,4,reg,0,5v5,46.4,2,2,31,56,22,40,15,28
ducks,51,Ducks 3 at Blues 2,2014-01-18,blues,3,2,reg,2,5v5,47.6,2,1,36,58,26,42,17,29
ducks,52,Jets 3 at Ducks 2,2014-01-21,jets,2,3,reg,0,5v5,49.3,1,2,74,37,45,34,33,19
ducks,53,Kings 1 at Ducks 2,2014-01-23,kings,2,1,reg,2,5v5,42.6,1,1,25,42,21,33,15,22
ducks,54,Ducks 3 at Kings 0,2014-01-25,kings,3,0,reg,2,5v5,43.9,2,0,27,45,26,32,17,26
ducks,55,Wild 4 at Ducks 2,2014-01-28,wild,2,4,reg,0,5v5,41.1,1,3,41,31,34,28,25,21
ducks,56,Flyers 3 at Ducks 5,2014-01-30,flyers,5,3,reg,2,5v5,47.8,3,2,49,46,41,33,25,23
ducks,57,Stars 2 at Ducks 0,2014-02-01,stars,0,2,reg,0,5v5,45.3,0,1,39,42,29,35,20,22
ducks,58,Blue Jackets 4 at Ducks 2,2014-02-03,jackets,2,4,reg,0,5v5,47.4,2,2,60,41,43,30,32,24
ducks,59,Blackhawks 2 at Ducks 0,2014-02-05,blackhawks,0,2,reg,0,5v5,45.3,0,2,43,36,27,29,16,23
ducks,60,Ducks 5 at Predators 2,2014-02-08,predators,5,2,reg,2,5v5,45.8,3,1,41,47,28,36,21,29
ducks,61,Blues 0 at Ducks 1,2014-02-28,blues,1,0,reg,2,5v5,47.1,1,0,29,58,26,36,17,13
ducks,62,Hurricanes 3 at Ducks 5,2014-03-02,hurricanes,5,3,reg,2,5v5,41.6,3,2,48,61,34,52,24,40
ducks,63,Canadiens 4 at Ducks 3 (SO),2014-03-05,canadiens,3,4,SO,1,5v5,40.2,2,3,39,48,28,41,20,22
ducks,64,Penguins 3 at Ducks 2 (SO),2014-03-07,penguins,2,3,SO,1,5v5,47.1,2,1,51,37,36,19,23,8
ducks,65,Maple Leafs 3 at Ducks 1,2014-03-10,leafs,1,3,reg,0,5v5,45.7,1,2,58,34,41,22,29,17
ducks,66,Ducks 2 at Flames 7,2014-03-12,flames,2,7,reg,0,5v5,49.4,2,4,40,31,27,23,19,18
ducks,67,Ducks 6 at Avalanche 4,2014-03-14,avalanche,6,4,reg,2,5v5,39.9,6,2,49,37,36,30,29,21
ducks,68,Ducks 2 at Kings 1,2014-03-15,kings,2,1,reg,2,5v5,45.4,2,0,33,54,29,40,18,33
ducks,69,Capitals 3 at Ducks 2,2014-03-18,capitals,2,3,reg,0,5v5,48.0,2,1,53,44,44,33,30,25
ducks,70,Ducks 2 at Sharks 3,2014-03-20,sharks,2,3,reg,0,5v5,51.6,1,2,36,54,23,43,14,25
ducks,71,Panthers 2 at Ducks 6,2014-03-23,panthers,6,2,reg,2,5v5,53.4,4,2,60,47,53,39,34,29
ducks,72,Ducks 3 at Flames 2,2014-03-26,flames,3,2,reg,2,5v5,53.0,2,2,54,59,37,44,27,31
ducks,73,Ducks 3 at Oilers 4 (OT),2014-03-28,oilers,3,4,OT,1,5v5,50.0,3,3,62,29,49,22,39,16
ducks,74,Ducks 5 at Canucks 1,2014-03-29,canucks,5,1,reg,2,5v5,44.5,4,1,33,48,25,36,16,24
ducks,75,Jets 4 at Ducks 5 (OT),2014-03-31,jets,5,4,OT,2,5v5,51.5,2,3,54,55,38,38,26,33
ducks,76,Oilers 2 at Ducks 3,2014-04-02,oilers,3,2,reg,2,5v5,43.2,3,1,35,35,24,33,18,27
ducks,77,Predators 5 at Ducks 2,2014-04-04,predators,2,5,reg,0,5v5,47.9,2,5,43,37,30,30,22,22
ducks,78,Ducks 2 at Oilers 4,2014-04-06,oilers,2,4,reg,0,5v5,44.5,1,1,54,37,36,27,25,22
ducks,79,Ducks 3 at Canucks 0,2014-04-07,canucks,3,0,reg,2,5v5,47.8,2,0,32,52,21,33,18,14
ducks,80,Sharks 2 at Ducks 5,2014-04-09,sharks,5,2,reg,2,5v5,43.9,4,2,48,46,38,36,22,23
ducks,81,Ducks 4 at Kings 3 (SO),2014-04-12,kings,4,3,SO,2,5v5,44.0,3,3,27,47,18,30,12,21
ducks,82,Avalanche 2 at Ducks 3 (OT),2014-04-13,avalanche,3,2,OT,2,5v5,53.7,2,2,57,52,52,38,28,29
bruins,1,Lightning 1 at Bruins 3,2013-10-03,lightning,3,1,reg,2,5v5,48.5,1,1,47,38,31,29,20,23
bruins,2,Red Wings 1 at Bruins 4,2013-10-05,wings,4,1,reg,2,5v5,49.9,2,1,45,42,38,31,29,23
bruins,3,Avalanche 2 at Bruins 0,2013-10-10,avalanche,0,2,reg,0,5v5,44.1,0,0,50,38,41,24,25,18
bruins,4,Bruins 3 at Blue Jackets 1,2013-10-12,jackets,3,1,reg,2,5v5,46.2,2,0,44,39,36,25,28,21
bruins,5,Red Wings 3 at Bruins 2,2013-10-14,wings,2,3,reg,0,5v5,48.3,2,3,47,39,32,35,22,24
bruins,6,Bruins 3 at Panthers 2,2013-10-17,panthers,3,2,reg,2,5v5,51.9,2,1,56,32,45,30,36,25
bruins,7,Bruins 5 at Lightning 0,2013-10-19,lightning,5,0,reg,2,5v5,44.8,5,0,26,29,19,24,13,17
bruins,8,Bruins 5 at Sabres 2,2013-10-23,sabres,5,2,reg,2,5v5,45.9,3,1,34,29,24,21,20,13
bruins,9,Sharks 1 at Bruins 2,2013-10-24,sharks,2,1,reg,2,5v5,56.0,2,1,37,66,26,49,14,37
bruins,10,Devils 4 at Bruins 3,2013-10-26,devils,3,4,reg,0,5v5,48.1,2,0,35,33,30,24,25,19
bruins,11,Bruins 2 at Penguins 3,2013-10-30,penguins,2,3,reg,0,5v5,53.8,1,2,40,52,25,42,17,29
bruins,12,Ducks 2 at Bruins 3 (SO),2013-10-31,ducks,3,2,SO,2,5v5,49.8,1,2,39,25,27,21,16,17
bruins,13,Bruins 1 at Islanders 3,2013-11-02,islanders,1,3,reg,0,5v5,46.1,0,3,43,52,28,40,16,31
bruins,14,Stars 3 at Bruins 2 (SO),2013-11-05,stars,2,3,SO,1,5v5,46.0,2,1,44,39,30,34,23,27
bruins,15,Panthers 1 at Bruins 4,2013-11-07,panthers,4,1,reg,2,5v5,50.0,4,1,51,39,39,24,27,19
bruins,16,Maple Leafs 1 at Bruins 3,2013-11-09,leafs,3,1,reg,2,5v5,49.5,0,1,51,41,38,30,25,23
bruins,17,Lightning 0 at Bruins 3,2013-11-11,lightning,3,0,reg,2,5v5,49.9,2,0,39,48,35,39,23,24
bruins,18,Blue Jackets 2 at Bruins 3 (OT),2013-11-14,jackets,3,2,OT,2,5v5,50.0,2,2,53,42,35,34,28,28
bruins,19,Bruins 2 at Senators 4,2013-11-15,senators,2,4,reg,0,5v5,53.0,2,4,52,45,41,34,30,24
bruins,20,Bruins 4 at Hurricanes 1,2013-11-18,hurricanes,4,1,reg,2,5v5,49.4,2,1,58,40,39,32,26,22
bruins,21,Bruins 2 at Rangers 1,2013-11-19,rangers,2,1,reg,2,5v5,47.0,1,0,44,69,27,50,18,37
bruins,22,Blues 3 at Bruins 2 (SO),2013-11-21,blues,2,3,SO,1,5v5,56.0,2,2,59,43,38,28,27,23
bruins,23,Hurricanes 2 at Bruins 3 (OT),2013-11-23,hurricanes,3,2,OT,2,5v5,48.1,1,0,43,34,32,27,25,19
bruins,24,Penguins 3 at Bruins 4 (OT),2013-11-25,penguins,4,3,OT,2,5v5,56.7,2,2,44,46,34,36,21,25
bruins,25,Bruins 1 at Red Wings 6,2013-11-27,wings,1,6,reg,0,5v5,45.3,1,5,29,30,19,26,12,20
bruins,26,Rangers 2 at Bruins 3,2013-11-29,rangers,3,2,reg,2,5v5,47.0,3,2,48,27,35,21,24,16
bruins,27,Blue Jackets 1 at Bruins 3,2013-11-30,jackets,3,1,reg,2,5v5,43.4,2,0,51,29,38,16,26,9
bruins,28,Bruins 1 at Canadiens 2,2013-12-05,canadiens,1,2,reg,0,5v5,46.7,1,2,58,38,38,28,29,21
bruins,29,Penguins 2 at Bruins 3,2013-12-07,penguins,3,2,reg,2,5v5,39.2,2,0,28,34,16,23,11,18
bruins,30,Bruins 5 at Maple Leafs 2,2013-12-08,leafs,5,2,reg,2,5v5,45.7,2,2,57,56,44,41,31,25
bruins,31,Bruins 2 at Flames 1,2013-12-10,flames,2,1,reg,2,5v5,49.2,1,1,50,36,33,26,18,20
bruins,32,Bruins 4 at Oilers 2,2013-12-12,oilers,4,2,reg,2,5v5,51.0,2,2,42,58,30,44,27,34
bruins,33,Bruins 2 at Canucks 6,2013-12-14,canucks,2,6,reg,0,5v5,51.2,2,4,69,40,52,28,40,24
bruins,34,Flames 0 at Bruins 2,2013-12-17,flames,2,0,reg,2,5v5,48.6,0,0,42,29,35,21,26,14
bruins,35,Bruins 2 at Sabres 4,2013-12-19,sabres,2,4,reg,0,5v5,49.0,1,3,58,34,38,21,26,18
bruins,36,Sabres 1 at Bruins 4,2013-12-21,sabres,4,1,reg,2,5v5,45.8,2,1,52,49,41,40,32,29
bruins,37,Bruins 6 at Predators 2,2013-12-23,predators,6,2,reg,2,5v5,52.5,3,1,46,58,40,40,30,32
bruins,38,Senators 0 at Bruins 5,2013-12-27,senators,5,0,reg,2,5v5,49.6,3,0,58,52,44,41,36,32
bruins,39,Bruins 3 at Senators 4,2013-12-28,senators,3,4,reg,0,5v5,47.8,3,3,41,51,36,35,23,25
bruins,40,Islanders 5 at Bruins 3,2013-12-31,islanders,3,5,reg,0,5v5,44.8,2,1,45,41,34,26,27,20
bruins,41,Predators 2 at Bruins 3 (OT),2014-01-02,predators,3,2,OT,2,5v5,53.9,2,2,54,45,33,36,19,32
bruins,42,Jets 1 at Bruins 4,2014-01-04,jets,4,1,reg,2,5v5,50.0,4,1,51,56,40,44,28,34
bruins,43,Bruins 2 at Ducks 5,2014-01-07,ducks,2,5,reg,0,5v5,52.2,2,1,54,34,43,24,28,14
bruins,44,Bruins 2 at Kings 4,2014-01-09,kings,2,4,reg,0,5v5,42.7,2,3,35,46,29,38,18,28
bruins,45,Bruins 1 at Sharks 0,2014-01-11,sharks,1,0,reg,2,5v5,50.6,1,0,48,56,30,41,17,23
bruins,46,Maple Leafs 4 at Bruins 3,2014-01-14,leafs,3,4,reg,0,5v5,44.4,3,2,58,23,44,18,31,17
bruins,47,Bruins 4 at Stars 2,2014-01-16,stars,4,2,reg,2,5v5,40.0,2,0,53,37,40,26,29,18
bruins,48,Bruins 2 at Blackhawks 3 (SO),2014-01-19,blackhawks,2,3,SO,1,5v5,52.0,2,2,49,48,36,37,31,32
bruins,49,Kings 2 at Bruins 3,2014-01-20,kings,3,2,reg,2,5v5,46.0,1,1,36,37,27,25,19,16
bruins,50,Bruins 6 at Flyers 1,2014-01-25,flyers,6,1,reg,2,5v5,50.7,3,0,49,41,32,26,23,21
bruins,51,Bruins 6 at Islanders 3,2014-01-27,islanders,6,3,reg,2,5v5,45.7,5,3,55,51,39,30,36,24
bruins,52,Panthers 2 at Bruins 6,2014-01-28,panthers,6,2,reg,2,5v5,49.8,5,1,53,46,44,38,34,28
bruins,53,Canadiens 4 at Bruins 1,2014-01-30,canadiens,1,4,reg,0,5v5,48.1,1,3,53,49,38,37,28,28
bruins,54,Oilers 0 at Bruins 4,2014-02-01,oilers,4,0,reg,2,5v5,44.2,2,0,54,32,43,29,29,20
bruins,55,Canucks 1 at Bruins 3,2014-02-04,canucks,3,1,reg,2,5v5,49.7,2,1,53,53,44,39,29,21
bruins,56,Bruins 2 at Blues 3 (OT),2014-02-06,blues,2,3,OT,1,5v5,44.0,2,2,44,30,34,25,28,18
bruins,57,Senators 2 at Bruins 7,2014-02-08,senators,7,2,reg,2,5v5,47.8,6,1,60,30,52,25,36,18
bruins,58,Bruins 4 at Sabres 5 (OT),2014-02-26,sabres,4,5,OT,1,5v5,42.7,2,2,43,20,29,18,18,12
bruins,59,Capitals 4 at Bruins 2,2014-03-01,capitals,2,4,reg,0,5v5,43.8,1,2,48,24,37,19,26,16
bruins,60,Bruins 6 at Rangers 3,2014-03-02,rangers,6,3,reg,2,5v5,51.8,5,2,58,60,43,46,30,34
bruins,61,Panthers 1 at Bruins 4,2014-03-04,panthers,4,1,reg,2,5v5,49.2,3,1,44,46,33,35,29,21
bruins,62,Capitals 0 at Bruins 3,2014-03-06,capitals,3,0,reg,2,5v5,59.5,1,0,65,32,53,25,41,16
bruins,63,Bruins 4 at Lightning 3 (SO),2014-03-08,lightning,4,3,SO,2,5v5,52.0,3,2,47,29,34,23,22,14
bruins,64,Bruins 5 at Panthers 2,2014-03-09,panthers,5,2,reg,2,5v5,45.0,2,2,50,30,39,21,26,17
bruins,65,Bruins 4 at Canadiens 1,2014-03-12,canadiens,4,1,reg,2,5v5,50.0,4,1,43,55,32,41,27,27
bruins,66,Coyotes 1 at Bruins 2,2014-03-13,coyotes,2,1,reg,2,5v5,47.3,2,1,37,33,28,21,19,17
bruins,67,Hurricanes 1 at Bruins 5,2014-03-15,hurricanes,5,1,reg,2,5v5,49.4,5,1,55,41,44,30,34,23
bruins,68,Wild 1 at Bruins 4,2014-03-17,wild,4,1,reg,2,5v5,57.0,3,1,48,43,32,40,28,32
bruins,69,Bruins 4 at Devils 2,2014-03-18,devils,4,2,reg,2,5v5,49.5,3,1,37,32,28,20,25,13
bruins,70,Bruins 2 at Avalanche 0,2014-03-21,avalanche,2,0,reg,2,5v5,48.1,1,0,44,36,33,27,27,20
bruins,71,Bruins 4 at Coyotes 2,2014-03-22,coyotes,4,2,reg,2,5v5,46.2,2,1,49,39,35,33,20,21
bruins,72,Canadiens 2 at Bruins 1 (SO),2014-03-24,canadiens,1,2,SO,1,5v5,37.4,0,0,38,20,28,13,20,5
bruins,73,Blackhawks 0 at Bruins 3,2014-03-27,blackhawks,3,0,reg,2,5v5,53.9,3,0,38,41,29,33,19,24
bruins,74,Bruins 4 at Capitals 2,2014-03-29,capitals,4,2,reg,2,5v5,46.8,2,2,49,51,35,36,26,25
bruins,75,Bruins 4 at Flyers 3 (SO),2014-03-30,flyers,4,3,SO,2,5v5,52.3,2,2,41,53,29,45,25,38
bruins,76,Bruins 2 at Red Wings 3,2014-04-02,wings,2,3,reg,0,5v5,47.4,1,3,42,27,33,24,23,18
bruins,77,Bruins 3 at Maple Leafs 4 (OT),2014-04-03,leafs,3,4,OT,1,5v5,52.8,3,3,71,30,51,25,32,20
bruins,78,Flyers 2 at Bruins 5,2014-04-05,flyers,5,2,reg,2,5v5,51.6,4,1,62,40,47,31,38,23
bruins,79,Bruins 3 at Wild 4 (SO),2014-04-08,wild,3,4,SO,1,5v5,50.0,1,1,38,36,21,28,15,16
bruins,80,Bruins 1 at Jets 2 (SO),2014-04-10,jets,1,2,SO,1,5v5,49.8,1,1,46,59,38,43,26,31
bruins,81,Sabres 1 at Bruins 4,2014-04-12,sabres,4,1,reg,2,5v5,47.5,3,1,45,27,32,22,23,20
bruins,82,Bruins 2 at Devils 3,2014-04-13,devils,2,3,reg,0,5v5,53.6,0,1,23,41,19,33,14,28
sabres,1,Sabres 1 at Red Wings 2,2013-10-02,wings,1,2,reg,0,5v5,41.2,1,2,20,43,14,36,11,27
sabres,2,Senators 1 at Sabres 0,2013-10-04,senators,0,1,reg,0,5v5,46.7,0,1,41,63,36,48,29,33
sabres,3,Sabres 1 at Penguins 4,2013-10-05,penguins,1,4,reg,0,5v5,51.9,1,2,32,55,18,41,16,28
sabres,4,Lightning 3 at Sabres 2 (OT),2013-10-08,lightning,2,3,OT,1,5v5,49.4,0,1,33,46,25,35,16,27
sabres,5,Blue Jackets 4 at Sabres 1,2013-10-10,jackets,1,4,reg,0,5v5,49.7,1,4,46,39,33,33,26,26
sabres,6,Sabres 1 at Blackhawks 2,2013-10-12,blackhawks,1,2,reg,0,5v5,43.1,1,1,38,41,29,33,24,23
sabres,7,Wild 2 at Sabres 1,2013-10-14,wild,1,2,reg,0,5v5,44.8,1,0,35,29,27,24,19,11
sabres,8,Sabres 4 at Islanders 3 (SO),2013-10-15,islanders,4,3,SO,2,5v5,46.1,2,2,49,57,37,44,23,33
sabres,9,Canucks 3 at Sabres 0,2013-10-17,canucks,0,3,reg,0,5v5,47.5,0,2,34,42,19,34,15,25
sabres,10,Avalanche 4 at Sabres 2,2013-10-19,avalanche,2,4,reg,0,5v5,48.4,2,3,40,35,31,28,23,22
sabres,11,Bruins 5 at Sabres 2,2013-10-23,bruins,2,5,reg,0,5v5,45.9,1,3,29,34,21,24,13,20
sabres,12,Sabres 3 at Panthers 1,2013-10-25,panthers,3,1,reg,2,5v5,52.8,2,1,30,71,23,56,17,41
sabres,13,Sabres 2 at Lightning 3,2013-10-26,lightning,2,3,reg,0,5v5,41.3,2,2,23,42,18,33,14,26
sabres,14,Stars 4 at Sabres 3,2013-10-28,stars,3,4,reg,0,5v5,48.4,2,3,34,35,23,26,17,18
sabres,15,Sabres 0 at Rangers 2,2013-10-31,rangers,0,2,reg,0,5v5,49.7,0,1,40,62,34,46,23,38
sabres,16,Ducks 6 at Sabres 3,2013-11-02,ducks,3,6,reg,0,5v5,51.8,2,6,33,49,21,38,15,29
sabres,17,Sabres 5 at Sharks 4 (SO),2013-11-05,sharks,5,4,SO,2,5v5,46.9,3,4,45,61,36,42,28,33
sabres,18,Sabres 0 at Kings 2,2013-11-07,kings,0,2,reg,0,5v5,43.1,0,0,27,32,19,24,14,14
sabres,19,Sabres 2 at Ducks 6,2013-11-08,ducks,2,6,reg,0,5v5,55.2,2,4,49,66,36,60,26,42
sabres,20,Kings 2 at Sabres 3 (SO),2013-11-12,kings,3,2,SO,2,5v5,50.5,1,2,26,58,18,44,12,32
sabres,21,Maple Leafs 1 at Sabres 3,2013-11-15,leafs,3,1,reg,2,5v5,47.5,1,1,24,47,21,37,17,28
sabres,22,Sabres 2 at Maple Leafs 4,2013-11-16,leafs,2,4,reg,0,5v5,50.3,1,2,48,38,34,29,26,16
sabres,23,Blues 4 at Sabres 1,2013-11-19,blues,1,4,reg,0,5v5,50.1,1,3,44,49,31,36,22,26
sabres,24,Sabres 1 at Flyers 4,2013-11-21,flyers,1,4,reg,0,5v5,37.7,0,2,32,44,23,36,18,28
sabres,25,Red Wings 3 at Sabres 1,2013-11-24,wings,1,3,reg,0,5v5,49.8,1,1,39,47,29,31,19,22
sabres,26,Canadiens 3 at Sabres 1,2013-11-27,canadiens,1,3,reg,0,5v5,47.9,1,1,39,42,26,32,18,27
sabres,27,Maple Leafs 2 at Sabres 3 (OT),2013-11-29,leafs,3,2,OT,2,5v5,50.4,1,2,51,41,33,31,24,22
sabres,28,Sabres 0 at Devils 1 (OT),2013-11-30,devils,0,1,OT,1,5v5,49.5,0,0,22,40,16,30,9,18
sabres,29,Rangers 3 at Sabres 1,2013-12-05,rangers,1,3,reg,0,5v5,51.2,1,2,50,51,36,40,27,27
sabres,30,Sabres 2 at Canadiens 3,2013-12-07,canadiens,2,3,reg,0,5v5,54.9,2,3,46,39,30,27,25,18
sabres,31,Senators 1 at Sabres 2 (SO),2013-12-10,senators,2,1,SO,2,5v5,47.6,1,1,39,54,33,41,25,28
sabres,32,Sabres 1 at Senators 2,2013-12-12,senators,1,2,reg,0,5v5,45.3,0,2,46,53,38,39,30,29
sabres,33,Flames 2 at Sabres 1 (OT),2013-12-14,flames,1,2,OT,1,5v5,42.3,1,1,45,31,29,25,21,19
sabres,34,Jets 2 at Sabres 4,2013-12-17,jets,4,2,reg,2,5v5,49.0,3,2,46,52,36,41,25,25
sabres,35,Bruins 2 at Sabres 4,2013-12-19,bruins,4,2,reg,2,5v5,49.0,3,1,34,58,21,38,18,26
sabres,36,Sabres 1 at Bruins 4,2013-12-21,bruins,1,4,reg,0,5v5,45.8,1,2,49,52,40,41,29,32
sabres,37,Coyotes 1 at Sabres 2 (OT),2013-12-23,coyotes,2,1,OT,2,5v5,44.3,1,1,37,39,29,29,23,23
sabres,38,Sabres 3 at Maple Leafs 4 (SO),2013-12-27,leafs,3,4,SO,1,5v5,54.6,2,2,50,54,41,41,29,30
sabres,39,Capitals 1 at Sabres 2 (SO),2013-12-29,capitals,2,1,SO,2,5v5,54.0,1,1,38,56,27,45,16,35
sabres,40,Sabres 0 at Jets 3,2013-12-31,jets,0,3,reg,0,5v5,45.8,0,2,42,38,29,27,20,20
sabres,41,Sabres 1 at Wild 4,2014-01-02,wild,1,4,reg,0,5v5,41.1,0,3,26,37,20,32,12,22
sabres,42,Devils 1 at Sabres 2,2014-01-04,devils,2,1,reg,2,5v5,42.0,0,0,19,36,12,20,10,14
sabres,43,Panthers 2 at Sabres 1 (SO),2014-01-09,panthers,1,2,SO,1,5v5,48.5,1,1,35,49,26,37,19,26
sabres,44,Sabres 2 at Capitals 1 (SO),2014-01-12,capitals,2,1,SO,2,5v5,48.4,0,1,39,49,26,34,20,26
sabres,45,Flyers 4 at Sabres 3,2014-01-14,flyers,3,4,reg,0,5v5,41.5,3,2,27,46,21,32,13,21
sabres,46,Sabres 3 at Maple Leafs 4 (SO),2014-01-15,leafs,3,4,SO,1,5v5,52.7,2,3,47,49,36,38,23,32
sabres,47,Blue Jackets 4 at Sabres 3 (SO),2014-01-18,jackets,3,4,SO,1,5v5,50.5,2,2,29,56,23,39,19,28
